grid_id_0.25deg,lat_0.25deg,lng_0.25deg,GHM_0.25deg,viirs_dnb_avg_rad_0.25deg,viirs_dnb_cf_cvg_0.25deg,world_pop_density_0.25deg
4049,-10.5,120.5,,0.137621561,8.357386621,
4184,-10.5,120.75,,0.136913155,8.755742336,
4319,-10.5,121,,0.13395579,8.724580855,
4454,-10.5,121.25,,0.135281275,8.74837254,
4589,-10.5,121.5,0.551460451,0.147859132,8.951395997,180.573457
4724,-10.5,121.75,0.612343356,0.262045131,9.192144128,180.5734606
4859,-10.5,122,0.662099218,0.221806634,9.418220768,180.5734586
4994,-10.5,122.25,,0.138530451,9.522223378,
5129,-10.5,122.5,,0.136991823,9.695170652,
5264,-10.5,122.75,,0.133514858,9.165685873,
5399,-10.5,123,,0.133318286,9.10217654,
5534,-10.5,123.25,0.342130157,0.185360774,9.122094933,106.2602958
5669,-10.5,123.5,0.283907099,0.180673562,8.344465219,106.2602946
5804,-10.5,123.75,,0.138241943,8.286658068,
5939,-10.5,124,,0.136202258,7.967605883,
6074,-10.5,124.25,,0.136043043,8.064576358,
6209,-10.5,124.5,,0.133802467,8.038567411,
6344,-10.5,124.75,,0.132436779,7.635517434,
6479,-10.5,125,,0.134328758,7.5081378,
6614,-10.5,125.25,,0.135035833,7.477616799,
6749,-10.5,125.5,,0.134049577,7.41443625,
6884,-10.5,125.75,,0.132730731,7.903290203,
7019,-10.5,126,,0.307807552,8.052950894,
7154,-10.5,126.25,,0.131564045,7.51487463,
7289,-10.5,126.5,,0.131005993,7.664077572,
7424,-10.5,126.75,,0.129802419,7.698973917,
7559,-10.5,127,,0.128754595,7.975932405,
7694,-10.5,127.25,,0.12852008,8.070329452,
7829,-10.5,127.5,,0.129927617,7.941173713,
7962,-11,127.75,,0.125203392,7.97549733,
15792,-11,142.25,0.021568975,0.154235378,8.987044453,1.643749115
15927,-11,142.5,0.013689193,0.159427328,8.940993441,1.818915331
16062,-11,142.75,0.003221041,0.152516072,8.961575763,0.030300983
16197,-11,143,,,,
16332,-11,143.25,,0.123606686,4.920344571,
16467,-11,143.5,,0.124897615,5.101656185,
16602,-11,143.75,,0.12307909,5.305055914,
16737,-11,144,,0.12146394,5.213568049,
16872,-11,144.25,,0.124646062,4.89607709,
17007,-11,144.5,,0.122936592,4.970408404,
17142,-11,144.75,,0.119915696,4.961566233,
17277,-11,145,,0.119835476,4.92540531,
17412,-11,145.25,,0.11822197,4.953351811,
17547,-11,145.5,,0.117539896,5.087724709,
17682,-11,145.75,,0.117007917,5.010723085,
17817,-11,146,,0.114474575,4.970073404,
17952,-11,146.25,,0.118656811,4.911389992,
18087,-11,146.5,,0.118556049,4.85939972,
18222,-11,146.75,,0.122884339,4.916466742,
18357,-11,147,,0.120894683,4.995141941,
18492,-11,147.25,,0.118504507,4.90522786,
18627,-11,147.5,,0.122730513,4.853887529,
18762,-11,147.75,,0.122570005,4.915281127,
18897,-11,148,,0.124731189,4.798721452,
19032,-11,148.25,,0.121784107,4.681122659,
19167,-11,148.5,,0.121738346,4.566548232,
19302,-11,148.75,,0.119462604,4.631199717,
19437,-11,149,,0.118423372,4.513129161,
19572,-11,149.25,,0.119576637,4.617397225,
19707,-11,149.5,,0.115965519,4.724774198,
19842,-11,149.75,,0.108912385,4.677363376,
19977,-11,150,,0.114837413,4.629059623,
20112,-11,150.25,,0.117237796,4.376438459,
20247,-11,150.5,,0.113036445,4.83768428,
20382,-11,150.75,,0.113818525,4.883331713,
20517,-11,151,0.128539845,0.120100166,5.001137576,20.03680801
20652,-11,151.25,,,,
20787,-11,151.5,,0.125527633,5.333333333,20.03680801
20922,-11,151.75,,0.129999995,5,
21057,-11,152,,0.106807079,5.069995792,
21192,-11,152.25,,0.124711726,5.915506958,20.03680801
21327,-11,152.5,0.127694053,0.137813024,6.35915493,20.03680788
21462,-11,152.75,0.114112527,0.132109742,6.237191987,20.0368077
21597,-11,153,0.116271162,0.130377376,6.650979154,20.03680781
21732,-11,153.25,,0.118685774,5.238367398,20.03680801
21867,-11,153.5,,0.116168942,5.123825147,
22002,-11,153.75,,0.11642165,5.04396965,
22137,-11,154,,0.11837425,4.994709917,
22272,-11,154.25,,0.119399003,4.95713886,
22407,-11,154.5,,0.12039358,4.909697707,
22542,-11,154.75,,0.118965993,4.669388745,
22677,-11,155,,0.118737949,4.315449703,
22812,-11,155.25,,0.113579652,4.299503841,
22947,-11,155.5,,0.110892462,4.755289988,
23082,-11,155.75,,0.113101678,4.925324112,
23217,-11,156,,0.114557026,4.735387256,
23352,-11,156.25,,0.115654037,4.757367964,
23487,-11,156.5,,0.119434617,4.635361922,
23622,-11,156.75,,0.118712745,4.803716441,
8097,-11,128,,0.128642876,7.903924055,
8232,-11,128.25,,0.127446032,7.895432347,
8367,-11,128.5,,0.127491293,8.524799706,
8502,-11,128.75,,0.125124698,8.356160184,
8637,-11,129,,0.125988481,8.120228246,
8772,-11,129.25,,0.126261805,7.88241024,
8907,-11,129.5,,0.124820451,7.669161608,
9042,-11,129.75,,0.120505546,7.479434781,
9177,-11,130,,0.121584471,7.419548682,
